Task Name;Command Name;Execution timestamp;Duration;Status;Executed Command;Output Message
MyTask 1;command1;2023-12-15 17:13:18.919792;0:00:01.129474;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1000344755.jpg"" -o "".\data\output\s1.jpg1000344755.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1000344755.png\r\n'
MyTask 1;command1;2023-12-15 17:13:18.925793;0:00:01.127474;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1000366164.jpg"" -o "".\data\output\s1.jpg1000366164.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1000366164.png\r\n'
MyTask 1;command1;2023-12-15 17:13:18.929792;0:00:01.126475;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1000523639.jpg"" -o "".\data\output\s1.jpg1000523639.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1000523639.png\r\n'
MyTask 1;command1;2023-12-15 17:13:18.934794;0:00:01.122472;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1000919630.jpg"" -o "".\data\output\s1.jpg1000919630.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1000919630.png\r\n'
MyTask 1;command1;2023-12-15 17:13:18.940794;0:00:01.117471;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\10010052.jpg"" -o "".\data\output\s1.jpg10010052.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg10010052.png\r\n'
MyTask 1;command1;2023-12-15 17:13:18.945791;0:00:01.113474;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1001465944.jpg"" -o "".\data\output\s1.jpg1001465944.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1001465944.png\r\n'
MyTask 1;command1;2023-12-15 17:13:18.951792;0:00:01.108473;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1001545525.jpg"" -o "".\data\output\s1.jpg1001545525.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1001545525.png\r\n'
MyTask 1;command2;2023-12-15 17:13:20.065268;0:00:01.136532;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1000344755.jpg"" -o "".\data\output\s1.jpg1000344755.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1000344755.png\r\n'
MyTask 1;command2;2023-12-15 17:13:20.069265;0:00:01.133538;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1000366164.jpg"" -o "".\data\output\s1.jpg1000366164.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1000366164.png\r\n'
MyTask 1;command2;2023-12-15 17:13:20.071266;0:00:01.132537;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1000523639.jpg"" -o "".\data\output\s1.jpg1000523639.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1000523639.png\r\n'
MyTask 1;command2;2023-12-15 17:13:20.075267;0:00:01.129535;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1000919630.jpg"" -o "".\data\output\s1.jpg1000919630.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1000919630.png\r\n'
MyTask 1;command2;2023-12-15 17:13:20.079269;0:00:01.126534;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\10010052.jpg"" -o "".\data\output\s1.jpg10010052.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg10010052.png\r\n'
MyTask 1;command2;2023-12-15 17:13:20.084272;0:00:01.122529;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1001465944.jpg"" -o "".\data\output\s1.jpg1001465944.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1001465944.png\r\n'
MyTask 1;command2;2023-12-15 17:13:20.088269;0:00:01.119531;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1001545525.jpg"" -o "".\data\output\s1.jpg1001545525.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1001545525.png\r\n'
MyTask 2;command1;2023-12-15 17:13:21.211803;0:00:01.152881;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1000344755.jpg"" -o "".\data\output\s1.jpg1000344755.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1000344755.png\r\n'
MyTask 2;command1;2023-12-15 17:13:21.216802;0:00:01.149883;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1000366164.jpg"" -o "".\data\output\s1.jpg1000366164.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1000366164.png\r\n'
MyTask 2;command1;2023-12-15 17:13:21.219801;0:00:01.164244;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1000523639.jpg"" -o "".\data\output\s1.jpg1000523639.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1000523639.png\r\n'
MyTask 2;command1;2023-12-15 17:13:21.222805;0:00:01.162239;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1000919630.jpg"" -o "".\data\output\s1.jpg1000919630.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1000919630.png\r\n'
MyTask 2;command1;2023-12-15 17:13:21.225804;0:00:01.160242;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\10010052.jpg"" -o "".\data\output\s1.jpg10010052.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg10010052.png\r\n'
MyTask 2;command1;2023-12-15 17:13:21.229802;0:00:01.158243;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1001465944.jpg"" -o "".\data\output\s1.jpg1001465944.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1001465944.png\r\n'
MyTask 2;command1;2023-12-15 17:13:21.234800;0:00:01.154244;Successful;"python C:\Users\felix\Desktop\Projekte\lsb-image-generator\modules\LSB-Steganography\LSBSteg.py encode -i "".\data\input\flickr30k_images\1001545525.jpg"" -o "".\data\output\s1.jpg1001545525.jpg"" -f "".\data\secrets\s1.jpg""";b'Output file changed to  .\\data\\output\\s1.jpg1001545525.png\r\n'
